config,step,loss,time,val_loss
Baseline,10,4.930330753326416,17.92503595352173,
Baseline,20,3.986454963684082,32.21490287780762,
Baseline,30,3.832617998123169,46.54140377044678,
Baseline,40,3.5373756885528564,63.488584995269775,
Baseline,50,3.21905517578125,78.80178093910217,
Baseline,60,2.642205238342285,97.05641889572144,
Baseline,70,3.8835411071777344,113.10342192649841,
Baseline,80,3.009357452392578,129.3619680404663,
Baseline,90,3.0628206729888916,145.4364378452301,
Baseline,100,2.908001661300659,163.7097568511963,
Baseline,100,,215.4291729927063,2.7458290634518963
Baseline,110,3.396040916442871,232.52687788009644,
Baseline,120,2.6304447650909424,247.94635391235352,
Baseline,130,4.06072473526001,263.3514018058777,
Baseline,140,2.357977867126465,284.82447576522827,
Baseline,150,1.639065146446228,309.811616897583,
Baseline,160,2.793339252471924,331.2615427970886,
Baseline,170,3.048497200012207,356.862478017807,
Baseline,180,2.2870073318481445,369.9135148525238,
Baseline,190,2.368624210357666,380.8904550075531,
Baseline,200,2.453244209289551,395.5741460323334,
Baseline,200,,454.59535574913025,2.6391412678916577
Baseline,210,2.5022313594818115,468.3085479736328,
Baseline,220,1.8175054788589478,480.1596710681915,
Baseline,230,2.686551094055176,496.8307979106903,
Baseline,240,2.3705062866210938,518.8028719425201,
Baseline,250,1.8066133260726929,529.5044808387756,
Baseline,260,2.7435686588287354,539.837944984436,
Baseline,270,2.001345157623291,550.1763250827789,
Baseline,280,2.658430576324463,560.4442360401154,
Baseline,290,3.003303050994873,570.7543747425079,
Baseline,300,2.5689351558685303,581.0824599266052,
Baseline,300,,624.4523298740387,2.5448393708063386
Baseline,310,2.3203163146972656,634.7417340278625,
Baseline,320,2.8406167030334473,644.9548609256744,
Baseline,330,2.499105215072632,655.2345168590546,
Baseline,340,1.8262220621109009,665.5301039218903,
Baseline,350,2.878298044204712,675.7855439186096,
Baseline,360,1.5884298086166382,686.1617798805237,
Baseline,370,2.3671672344207764,696.1631150245667,
Baseline,380,1.913448452949524,706.5800559520721,
Baseline,390,2.315485954284668,716.6550807952881,
Baseline,400,1.8167589902877808,726.7935237884521,
Baseline,400,,769.062842130661,2.0842442020016203
Baseline,410,2.026533603668213,779.1798870563507,
Baseline,420,2.1785755157470703,789.313169002533,
Baseline,430,1.1560860872268677,799.5637350082397,
Baseline,440,2.0380849838256836,809.5985209941864,
Baseline,450,1.0129904747009277,819.7112801074982,
Baseline,460,1.5416172742843628,829.763424873352,
Baseline,470,1.3029404878616333,839.8498749732971,
Baseline,480,1.833762526512146,849.9947319030762,
Baseline,490,1.8047252893447876,860.1151180267334,
Baseline,500,1.2718515396118164,870.1590399742126,
Baseline,500,,912.18568110466,1.6441622645420544
